date,n,auc,auc_lo,auc_hi,calib_err
2017-06-16,150,0.6235,,,0.2033333333333333
2017-06-29,150,0.6235,,,0.2033333333333333
2017-07-24,150,0.6235,,,0.2033333333333333
2017-07-27,150,0.6285,,,0.1966666666666667
2017-07-28,150,0.6276015356637704,,,0.19666666666666666
2017-08-02,150,0.6325520307132754,,,0.19000000000000006
2017-08-03,150,0.6375025257627803,,,0.18333333333333335
2017-08-10,150,0.6385,,,0.1833333333333334
2017-08-17,150,0.6393345216874629,,,0.1833333333333333
2017-08-18,150,0.6342840166369578,,,0.19
2017-08-21,150,0.6285,,,0.1966666666666667
2017-08-24,150,0.6226510406142655,,,0.20333333333333337
2017-09-05,150,0.6276015356637704,,,0.19666666666666666
2017-09-20,150,0.6265318627450981,,,0.1966666666666667
2017-09-21,150,0.6314338235294118,,,0.19
2017-09-25,150,0.6360256145424499,,,0.20333333333333337
2017-10-09,150,0.6457984949832776,,,0.21000000000000008
2017-10-19,150,0.6471571906354515,,,0.20666666666666667
2017-10-23,150,0.6423259657095641,,,0.19333333333333336
2017-10-25,150,0.6529642635819045,,,0.19999999999999996
2017-10-30,150,0.6529642635819045,,,0.19999999999999996
2017-11-02,150,0.6628344481605352,,,0.20666666666666667
2017-11-08,150,0.6619047619047619,,,0.20666666666666672
2017-11-09,150,0.6608061749571184,,,0.20666666666666667
2017-11-15,150,0.6655231560891939,,,0.2
2017-11-29,150,0.6702401372212693,,,0.19333333333333336
2017-12-01,150,0.6688763312323408,,,0.1933333333333333
2018-01-16,150,0.6673280423280423,,,0.1933333333333333
2018-01-18,150,0.665585142089953,,,0.19333333333333336
2018-01-29,150,0.6636363636363637,,,0.19333333333333336
2018-02-02,150,0.6511363636363636,,,0.18666666666666665
2018-02-05,150,0.6386363636363637,,,0.18
2018-02-08,150,0.6457820541508167,,,0.17333333333333334
2018-02-09,150,0.6457820541508167,,,0.17333333333333334
2018-03-01,150,0.6386363636363637,,,0.18
2018-03-14,150,0.6358281358281358,,,0.18
2018-03-19,150,0.6358281358281358,,,0.18
2018-03-22,150,0.6431818181818182,,,0.17333333333333334
2018-03-23,150,0.6358281358281358,,,0.18
2018-03-28,150,0.6358281358281358,,,0.18
2018-04-02,150,0.6431818181818182,,,0.17333333333333334
2018-04-06,150,0.6431818181818182,,,0.17333333333333334
2018-04-19,150,0.6403326403326404,,,0.17333333333333334
2018-04-20,150,0.6352272727272728,,,0.16000000000000003
2018-04-25,150,0.6306818181818182,,,0.16666666666666669
2018-04-30,150,0.6335869321995973,,,0.16666666666666669
2018-05-02,150,0.6289997762362944,,,0.17333333333333334
2018-05-03,150,0.6244126202729917,,,0.18
2018-05-24,150,0.6244126202729917,,,0.18
2018-05-29,150,0.634090909090909,,,0.18666666666666665
2018-05-31,150,0.6268191268191268,,,0.1933333333333333
2018-06-07,150,0.6238251879699248,,,0.1933333333333333
2018-06-15,150,0.6238251879699248,,,0.1933333333333333
2018-06-21,150,0.636983082706767,,,0.19999999999999996
2018-06-25,150,0.636983082706767,,,0.19999999999999996
2018-06-27,150,0.6441441441441441,,,0.1933333333333333
2018-07-19,150,0.6414473684210527,,,0.1933333333333333
2018-07-27,150,0.6358281358281358,,,0.18
2018-07-30,150,0.623007623007623,,,0.17333333333333334
2018-08-13,150,0.6327537593984962,,,0.18
2018-08-15,150,0.6282894736842105,,,0.18666666666666665
2018-08-30,150,0.6327537593984962,,,0.18
2018-09-04,150,0.629394881607271,,,0.18000000000000002
2018-09-06,150,0.6338196603683329,,,0.1733333333333333
2018-09-17,150,0.6285244360902256,,,0.15999999999999998
2018-09-21,150,0.6153665413533834,,,0.15333333333333332
2018-10-04,150,0.6108801108801108,,,0.14
2018-10-05,150,0.6068181818181818,,,0.12666666666666665
2018-10-08,150,0.5980595980595981,,,0.1333333333333333
2018-10-10,150,0.5980595980595981,,,0.1333333333333333
2018-10-11,150,0.6108801108801108,,,0.14
2018-10-17,150,0.6108801108801108,,,0.14
2018-10-18,150,0.6147727272727272,,,0.14
2018-10-22,150,0.6147727272727272,,,0.14
2018-10-24,150,0.6183710002237637,,,0.14
2018-10-26,150,0.613783844260461,,,0.14666666666666667
2018-10-29,150,0.6091966882971582,,,0.15333333333333338
2018-11-02,150,0.6046095323338555,,,0.16000000000000003
2018-11-09,150,0.6046095323338555,,,0.16000000000000003
2018-11-12,150,0.5958994708994709,,,0.15333333333333332
2018-11-14,150,0.5878272544193331,,,0.16000000000000003
2018-11-19,150,0.5912698412698413,,,0.15999999999999998
2018-12-06,150,0.5878272544193331,,,0.16000000000000003
2018-12-10,150,0.5878272544193331,,,0.16000000000000003
2018-12-14,150,0.5832400984560304,,,0.16666666666666669
2018-12-17,150,0.5866402116402116,,,0.16666666666666663
2018-12-19,150,0.5897630949793523,,,0.16666666666666663
2018-12-20,150,0.5897630949793523,,,0.16666666666666663
2018-12-21,150,0.5973413379073756,,,0.15999999999999998
2018-12-24,150,0.6047619047619047,,,0.15333333333333332
2019-01-22,150,0.6134219554030875,,,0.15999999999999998
2019-01-28,150,0.6134219554030875,,,0.15999999999999998
2019-02-07,150,0.6134219554030875,,,0.15999999999999998
