# roll: mapping=OpenInterest normalization=BackwardsRatio depth=0
# source: QuantConnect native continuous futures
# markets: CL,NG,GC,HG,ZC,ZS,ZW
# vol_windows_days: 20,60,120
# rows: 207  span: 2009-06-30 .. 2026-08-31
time,CL_close,CL_v20,CL_v60,CL_v120,NG_close,NG_v20,NG_v60,NG_v120,GC_close,GC_v20,GC_v60,GC_v120,HG_close,HG_v20,HG_v60,HG_v120,ZC_close,ZC_v20,ZC_v60,ZC_v120,ZS_close,ZS_v20,ZS_v60,ZS_v120,ZW_close,ZW_v20,ZW_v60,ZW_v120
2016-09-30,49.906229,0.359464,0.351928,0.356671,60.331829,0.304003,0.351189,0.379632,1770.249027,0.117531,0.116333,0.150826,2.677750,0.119900,0.146180,0.177597,5.104661,0.211480,0.232481,0.270589,9.585202,0.185795,0.237395,0.270700,11.308671,0.177727,0.222581,0.262430
2016-10-31,48.131076,0.274184,0.330994,0.348021,59.176294,0.399566,0.344280,0.366630,1713.585483,0.138266,0.111512,0.147280,2.669858,0.151249,0.140255,0.167608,5.381717,0.218617,0.209570,0.255766,10.088499,0.141775,0.173429,0.244341,11.681407,0.308980,0.241385,0.255105
2016-11-30,49.631744,0.479150,0.375709,0.384044,62.858374,0.436539,0.384211,0.380126,1571.703073,0.150002,0.130047,0.149007,3.171174,0.275071,0.200083,0.190907,5.161867,0.194652,0.219479,0.250422,10.280210,0.169500,0.174833,0.233350,10.819963,0.187455,0.227139,0.239940
2016-12-31,53.627859,0.221922,0.348021,0.342826,69.541691,0.484274,0.454620,0.401409,1540.796460,0.106243,0.118956,0.123691,3.024181,0.182125,0.217319,0.181034,5.198897,0.194628,,,9.908691,0.178816,0.166583,0.200291,10.981154,0.217285,,
2017-01-31,51.648117,0.261781,0.342625,0.335683,58.882016,0.523422,0.494628,0.424512,1617.435034,0.121527,0.132546,0.123125,3.285242,0.262767,0.248533,0.203196,5.324796,0.137041,,,10.098484,0.200506,0.181726,0.179122,11.296820,0.217936,,
2017-02-28,52.364900,0.174223,0.233863,0.311612,50.606892,0.454127,0.500672,0.445823,1667.251575,0.097617,0.107290,0.121739,3.261742,0.272884,0.238801,0.220837,5.412520,0.152352,0.163703,,10.123791,0.150040,0.175603,0.174811,11.560290,0.238008,0.222669,
2017-03-31,48.786025,0.250904,0.225829,0.293627,56.762095,0.274127,0.373154,0.438709,1665.382459,0.107189,0.108935,0.115329,3.189814,0.157495,0.228496,0.225777,5.292807,0.128131,0.144786,,9.220971,0.091413,0.156239,0.164003,11.111410,0.185502,0.215719,
2017-04-30,46.842523,0.205378,0.211922,0.284581,56.764384,0.267294,0.343901,0.424625,1690.422377,0.092974,0.099017,0.117324,3.112937,0.198587,0.210726,0.231684,5.197190,0.171128,0.147392,,9.219945,0.109161,0.120966,0.155834,10.919955,0.182506,0.197656,
2017-05-31,45.953688,0.332818,0.264947,0.243662,52.069638,0.340390,0.295543,0.395931,1688.291873,0.125773,0.108006,0.109153,3.093987,0.212687,0.190923,0.216038,5.282506,0.196613,0.174159,0.164470,8.836383,0.161133,0.125435,0.153812,10.869370,0.234464,0.223843,0.225000
2017-06-30,43.543104,0.286747,0.273500,0.246514,51.149965,0.304542,0.288287,0.332948,1647.693372,0.086107,0.106411,0.105056,3.228091,0.155746,0.185724,0.211037,5.296544,0.231301,0.203563,0.176579,9.068852,0.137894,0.137686,0.144693,12.866889,0.342977,0.287273,0.252515
